Company Name,Website,Email(s)
16 PIXEL,https://16days.thepixelproject.net/contact-us/,info@thepixelproject.net
1RIVET,https://www.1rivet.com/careers,jobs@1rivet.com
3NI INFOTECH,https://www.3i-infotech.com/careers/,Queriesmarketing@3i-infotech.com
4TYSIX APP LABS LLP,https://www.4tysix.tech/,info@4tysix.techLinked
5 PAISA CAPITAL LIMITED,https://www.5paisa.com/contact-us,"support@5paisa.com, Queriesdp.grievance@5paisa.com, CISO@5paisa.com."
AAC STUDIO LLP,Not found,No email found
ACE INFOWAYS,Not found,No email found
ADSUM ORIGINATOR LLP,https://adsumoriginator.com/contact-us,hr@adsumoriginator.com
AGEVOLE INNOVATION PVT LTD,https://agevole.in/contact/,"inquiry@agevole.in, 83505inquiry@agevole.in"
AGEVOLE INNOVATION PVT. LTD,https://agevole.in/contact/,"inquiry@agevole.in, 83505inquiry@agevole.in"
AHURA TECHNOSOFT LLP,Not found,No email found
AIP EXPERTS,https://aipxperts.com/careers/,"sales@aipxperts.com, hr@aipxperts.com"
AKSHAR SOFT SOLUTIONS,https://aksharsoftsolutions.com/,contact@aksharsoftsolutions.com
ALIAN SOFTWARE,https://aliansoftware.com/contact-us/,"hr@aliansoftware.netHire, sales@aliansoftware.nethr, hr@aliansoftware.netAhmebabadAddress629, Developerssales@aliansoftware.net02692-297-820ServicesFrontend, Us02692-297-820Emailsales@aliansoftware.net"
ALMASHINES,Not found,No email found
ALOIS SOLUTIONS,Not found,No email found
ALPHA E BARCODE SOLUTIONS,https://www.alphaebarcode.com/career,"support@alphaebarcode.com, sales@alphaebarcode.com"
AMRI SYSTEMS PVT. LTD.,https://www.linkedin.com/posts/amri-systems_hiring-businessdevelopment-bdejobs-activity-7276824066836099072-Zwj7,"digvijay.amrisystems@gmail.com., ishnoor@wicommfi.com, harshita.patidar@chplgroup.org"
ANANDORJA LLP,Not found,No email found
ANBLICKS,https://www.anblicks.com/contact-us/,marketing@anblicks.com
APLOMB TECHNOLOGY,https://www.aplombtechnology.com/careers,info@playoutsoftware.com
"APPLIED INFORMATICS, INC.",https://appliedinformaticsinc.com/,info@appliedinformaticsinc.com
APPUNIK,Not found,No email found
ARGUSOFT,https://www.argusoft.com/,"info@argusoft.com, jobs@argusoft.com"
ARHAM TECHNOSOFT,https://arhamtechnosoft.com/careers/,"info@arhamtechnosoft.com, Teaminfo@arhamtechnosoft.comEvents, hr@arhamtechnosoft.com"
ARKSOFT AI,https://in.linkedin.com/company/arkintelligence,contact@arkintelligence.in.
ARSENAL TECH,https://www.jobtatkal.com/org/arsenaltech,hr@arsenaltech.com
ARTH TECHNOLOGY,https://arthtechnology.com/careers.html,contact@arthtechnology.com
ARTRUE INFOTECH,Not found,No email found
ASTRON E-SERVICES PRIVATE LIMITED,Not found,No email found
ATH SOFTWARE SOLUTIONS,https://www.athinfosys.com/ContactUs.aspx,atsupport@athinfosys.com
ATYANTIK TECHNOLOGIES,https://atyantik.com/careers/,contact@atyantik.com
AUGMETIC,https://www.augmetic.co.uk/career,waysEmailinfo@augmetic.co.ukPhone
AUGMETIC (THE SIGNATURE DESIGN AND WEB SOLUTIONS),https://www.augmetic.co.uk/,waysEmailinfo@augmetic.co.ukPhone
AVESTA TECHNOLOGIES,https://avestatechnologies.com/career/,info@avestatechnologies.com
AVESTA TECHNOLOGIES ,https://avestatechnologies.com/career/,info@avestatechnologies.com
AVIANSOFT,Not found,No email found
AVM COMPUTERS PVT. LTD,http://www.avmcomputer.com/,"info@avmcomputer.com, account@avmcomputer.com"
BACANCY,Not found,No email found
BAISCO PVT LTD.,https://www.falconebiz.com/company/BAISCO-PRIVATE-LIMITED-U34300KA2022PTC161329,y16.96@gmail.com
BARUZOTECH PVT LTD,Not found,No email found
BISAG,https://bisag.wordpress.com/contact-us/,"ronakp950@gmaiol.com, info@bisag.gujarat.gov.in"
BISAG-N,Not found,No email found
BITSCAPE,https://www.salezshark.com/company/bitscape-infotech-pvt-ltd,"name@bitscape.com, name@bitscape.com., name@gmail.com"
BLUE DATA CONSULTING,Not found,No email found
BOSC TECH LABS ,Not found,No email found
BRAINYBEAM TECHNOLOGIES PVT. LTD.,https://www.brainybeam.com/contact.php,contact@brainybeam.com
BRANDONLINE,https://in.linkedin.com/company/brandonline,contact@brandonline.io
BVMINFOTECH,https://bvminfotech.com/career/,hr@bvminfotech.com
BYTERIDGE,https://byteridge.com/careers/,team-hiring@byteridge.com
BYTEZTECH,https://in.linkedin.com/company/byteztech,hr@byteztech.in
CALENDAR INFOTECH,Not found,No email found
CANDIDROOT SOLUTIONS PVT. LTD.,https://www.candidroot.com/jobs,"info@candidroot.com, hr@candidroot.com"
CAPAGEMINI,https://www.capgemini.com/in-en/contact-us/,"cgcompanysecretary.in@capgemini.com, cg_interview_helpdesk.in@capgemini.com, retiralshelpdesk.in@neocasemail.com, cgp2phelpdesk.in@capgemini.com, offboardingservices.in@capgemini.com, bgv.in@capgemini.com"
CAPERMINT,https://www.capermint.com/contact/,"hr@capermint.com, hello@capermint.com"
CELEBAL,https://celebaltech.com/,enterprisesales@celebaltech.com3rd
CELEBAL TECHNOLOGIES,https://celebaltech.com/,enterprisesales@celebaltech.com3rd
CENTURION INFOTECH,https://www.linkedin.com/company/centurion-technologies-llc,sales@centuriontechnologies.com
CHARUSAT MOTOROLA SOLUTIONS,https://www.charusat.ac.in/careers,21info@charusat.ac.inMon
CHARUSAT SPACE RESEARCH CENTER,https://www.charusat.ac.in/careers,21info@charusat.ac.inMon
CITADEL,https://www.citadel.edu/human-resources/careers/,"hr@citadel.edu, payroll@citadel.edu"
CODAL SYSTEM,https://cleartax.in/f/company/codal-systems-private-limited/U72200GJ2014PTC079556/,"danny@codal.comRegistered, danny@codal.com"
CODE EXPERT SOLUTION ,https://codexperts.in/contact,"nikunj@codexperts.in, codexpertsolutions@gmail.com"
CODENTIC SOFTWARE ,https://in.linkedin.com/company/codentic-software,career@codenticsoftware.com
CODESKET PVT LTD,Not found,No email found
CODINGZEN,https://codingzen.in/contact-us/,"info@codingzen.in, Hello@codingzen.in, service@codingzen.in"
CONCORDINSIGHT,https://www.intelius.com/phone/1-781-932-1231/,"soth2@hotmail.com, amainordaa@gmail.com, socmcgalt@sbcglobal.net, michael.landers@usmc.mil, bfd1313@softcom.net, m.landers@connectinsight.com, landerm1@hotmail.com, olanderos@gmail.com, soth81@gmail.com, tarajadams@hotmail.com, asymcahq@gmail.com, chriss3barbie@sbcglobal.net, m2landers@aol.com, unyqka1234@yahoo.com, michael@concordinsight.com, seventy454@aol.com, mlanders@softcom.net, milanders747@gmail.com, miriamlandau@comcast.net, michaellanders@sbcglobal.net, rijel7@hotmail.com, backwoodbass@yahoo.com, hdriders@softcom.net, mdlanders@mediaone.net, backwoodbass@gmail.com, mikelanders@aol.com, milanders747@gmail.com., mikedlanders@comcast.net, lawrence.landers012@gmail.com, landerm1@verizon.net, jljordan1100@gmail.com, unyqka@yahoo.com"
CONVERSIOS,Not found,No email found
COVRIZE IT,https://www.covrize.com/careers/,info@covrize.comP.
CRAFTBOX TECHNOLOGY,https://craftboxtechnology.com/contact-us/,"sales@craftbox.in, support@craftbox.in, hr@craftbox.in"
CREST DATA SYSTEMS,https://www.crestdata.ai/contact-us,"Informationinfo@crestdata.ai, Careerscareers@crestdata.ai, Salessales@crestdata.ai"
CREST INFOSYSTEM,https://in.linkedin.com/company/crest-infosystems-pvt-ltd,hr@crestinfosystems.com
CREST INFOSYSTEMS,https://in.linkedin.com/company/crest-infosystems-pvt-ltd,hr@crestinfosystems.com
CRYSTAL CUBE,https://crystalcubeinfotech.com/contact,"globally.crystalcubeinfotech@gmail.com, team.info@crystalcubeinfotech.com, projectsyagnik@crystalcubeinfotech.com, toolsinfo@crystalcubeinfotech.com"
CSRTC,https://gsrtc.in/site/downloads/innerPages/contactUs.html,Erefund@gsrtc.in
CYGBIT IT SOLUTIONS,https://www.cygbit.com/,info@cygbit.com
DATAGROKR ANALYTICS PRIVATE LIMITED,https://cleartax.in/f/company/datagrokr-analytics-private-limited/U72900KA2016FTC092831/,"naveen.gainedi@gmail.com, naveen.gainedi@gmail.comRegistered"
DEDIKH TECHNOLOGIES PRIVATE LIMITED,Not found,No email found
DEVKRUTI TECH,https://devkrutitech.com/contact/,info@devkrutitech.com
DEVOTEE INFOTECH,https://www.devoteeinfotech.com/contact,"hr@devoteeinfotech.com, info@devoteeinfotech.com"
DHARAMSI MORARJI CHEMICAL CO. LTD.,https://www.dmcc.com/careers,"info@dmcc.com, jobs@dmcc.com."
DHYEY TECHNOLOGIES OPC PVT LTD,Not found,No email found
DIGIKENTRO ,https://www.digikentro.com/contact,48164CONTACThello@digikentro.com
DIGIQB SOLUTION,Not found,No email found
DIGITAL FOR HUMANITY,Not found,No email found
DIGITAL ROOAR,https://www.digitalrooar.com.au/contact/,"chintan@digitalrooar.com.au, info@digitalrooar.com.au, hiren@digitalrooar.com.au"
DIGITALROOAR,https://www.digitalrooar.com.au/contact/,"chintan@digitalrooar.com.au, info@digitalrooar.com.au, hiren@digitalrooar.com.au"
DIVERSITY INFOTECH,https://www.linkedin.com/posts/diversity-infotech_surat-suratjobs-suratcity-activity-7101171606458183680-UpEg,hrdiversityinfotech@gmail.com
DOT3 SOLUTIONS,Not found,No email found
DOTS AND COM,https://in.linkedin.com/company/dots-&-coms,hr@dotscoms.com
DSU INFOTECH,https://www.dsu.edu.in/careers,"enquiry@dsu.edu.in, dsat@dsu.edu.in, admissions@dsuonline.com, international-admissions@dsu.edu.in, admissions@dsu.edu.in"
DTECH STUDIO,https://dtechstudio.in/,info@dtechstudio.in
DTECH STUDIOS,https://dtechstudio.in/,info@dtechstudio.in
DTI AUTOMATION PVT. LTD.,Not found,No email found
DURVASA INFOTECH,https://in.linkedin.com/company/durvasainfotech,hello@durvasainfotech.com
DWARAVATI,https://sai.org.in/en/tender-departments/dwaravati,dwarawati@sai.org.in
DWORD CORE PVT LTD,https://www.easyleadz.com/company/dword-core-private-limited-U72900KA2021PTC153188,"support@easyleadz.com, xxxx@xxx.com, mahanteshbnm26@gmail.com"
DYNATECH SYSTEMS,https://dynatechconsultancy.com/contact-us,sales@dynatechconsultancy.com
E2M SOLUTIONS INC,Not found,No email found
ECLINICALWORKS,https://www.eclinicalworks.com/careers/,hr@eclinicalworks.com.
EDELTA ENTERPRISE SOLUTIONS PVT. LTD,https://edeltaes.com/contact-us/,"hr@edeltaes.com, hello@edeltaes.com"
EINFOCHIP,Not found,No email found
E-INFOCHIPS,Not found,No email found
ELAUNCH SOLUTION PVT. LTD.,Not found,No email found
ELEGANT MICROWEB TECHNOLOGIES PVT. LTD.,https://www.elegantmicroweb.com/contact-us.htm,"info@elegantmicroweb.com, jobs@elegantmicroweb.com"
ELLKAY,Not found,No email found
ELLUMINATI,Not found,No email found
EMERGING 5,http://www.emergingfive.com/,akashtubetraders@gmail.com
EPISTIC TECHNOLOGIES PRIVATE LIMITED,https://www.epistic.net/,"646-222-3866hello@epistic.netHomeAbout, 646-222-3866hello@epistic.net905"
ESCROW INFOTECH,https://escrowinfotech.com/contact-us.html,hr@escrowinfotech.com
ETHICS INFOTECH LLP,https://ethicsinfotech.in/contact-us,"sales@ethicsinfotech.in, careers@ethicsinfotech.in"
EXPOSYS DATA LABS,https://www.exposysdata.com/Contact.html,hr@exposysdata.com
F5 SYSTEM,https://www.f5.com/company/contact/regional-offices,"norwayinfo@f5.com, info@f5.com"
F5 SYSTEMS ,Not found,No email found
FALCON CYBER TECH,Not found,No email found
FIRSTSPORTZ,https://firstsportz.com/contact-us/,Info@firstsportz.com
FUERTE DEVELOPER ,https://www.fuertedevelopers.com/contact_fuertedevelopers.php,"contact@fuertedevelopers.com, info@fuertedevelopers.com"
FUZEMEE,https://www.fuzemee.com/contact,Team@fuzemee.comPhone
